Page Number,Layer Title,Cue Number,Label,Work Note
"49","Lights","130","They leave",""
"49","Lights","131","Tilly runs away",""
"49","Lights","132","Chuck at table",""
"49","Lights","134","Blackout",""
"49","Sound","8.65","out FX",""
"49","Sound","8.7","out Evil Tina, Evil Gabbi",""
"49","Sound","8.8","Chuck, out Tilly",""
"50","Audio","100","Mall fx",""
"50","Lights","135","The Gap",""
"50","Sound","9","Agnes, Lilith",""
"50","Video","100","The Gap",""
"52","Sound","9.1","Vera",""
"52","Sound","9.2","out Lilith",""
"53","Audio","104","Transition music",""
"53","Lights","139","Blackout",""
"53","Sound","9.9","out",""
"53","Video","104","out",""
"54","Audio","105","Campfire sfx",""
"54","Lights","140","Campfire",""
"54","Lights","141","Chuck enters",""
"54","Sound","10","Agnes/Tilly",""
"54","Sound","10.1","Chuck",""
"54","Video","105","Campfire",""
"55","Audio","109","Transition music",""
"55","Lights","144","Blackout",""
"56","Audio","110","Mall fx",""
"56","Lights","145","The Gap",""
"56","Sound","11","Miles/Vera",""
"56","Sound","11.1","Steve",""
"56","Video","110","Gap",""
"57","Sound","11.2","out Steve",""
"59","Lights","149","Blackout",""
"59","Sound","11.3","Steve",""
"59","Sound","11.9","out",""
"60","Lights","150","Game, dark DSR",""
"60","Lights","151","Chuck",""
"60","Sound","12","Agnes, Kaliope",""
"60","Sound","12.1","Chuck",""
"60","Video","115","Bkg",""
"61","Audio","120","given circumstances music",""
"61","Audio","121","Gelatinous sounds",""
"61","Audio","122","Sucking",""
"61","Audio","123","Burp",""
"61","Lights","152","Mystic game setting",""
"61","Lights","153","Cube appears",""
"61","Lights","154","Steve",""
"61","Lights","155","Steve sucked in",""
"61","Lights","156","Burp",""
"61","Sound","12.2","Tilly, Lilith, Orcus, out Chuck",""
"61","Sound","12.25","FX",""
"61","Sound","12.3","Steve",""
"61","Sound","12.4","out Steve",""
"61","Video","120","Mountain of Steepness",""
"61","Video","125","Gelatinous Cube",""
"64","Audio","124","Gelatinous Cube transforms",""
"64","Audio","125","Boss fight music",""
"64","Audio","126","Ding ding",""
"64","Lights","157","dramatic build",""
"64","Lights","158","Boxing ring",""
"64","Lights","160","Boss Fight 2",""
"64","Sound","12.5","Miles: FX",""
"64","Sound","12.6","Chuck: Boss Fight #2",""
"64","Sound","12.7","Miles FX, out Chuck",""
"64","Video","130","Cube transforms into Miles",""
"65","Audio","130","Sword fight",""
"65","Audio","132","Kick",""
"65","Audio","133","Monster scream",""
"65","Audio","134","Victory music",""
"65","Lights","161","Fight",""
"65","Lights","163","Boss death",""
"65","Lights","164","Blackout",""
"65","Sound","12.9","Tilly, out Miles",""
"66","Lights","165","Outside school",""
"66","Sound","13","Agnes, Evil Tina, Evil Gabbi, out Tilly",""
"68","Lights","166","Void: Agnes. Tilly enters",""
"68","Lights","167","Tilly walks away",""
"68","Lights","169","Blackout",""
"68","Sound","13.7","Tilly",""
"68","Sound","13.8","out Evil Gabbi, Evil Tina",""
"68","Sound","13.9","out",""
"69","Lights","170","Game shop",""
"69","Lights","171","Transition to game",""
"69","Lights","172","Suddenly reality",""
"69","Sound","14","Agnes, Chuck",""
"69","Sound","14.1","Miles",""
"69","Video","140","Game shop",""
"71","Audio","140","Transformation to D&D",""
"71","Lights","174","Transition to game",""
"71","Sound","14.2","Lilith, Kaliope, Orcus, Tilly",""
"71","Video","145","Miles character sheet",""
"72","Audio","145","Explosion",""
"72","Audio","146","Fight underscore",""
"72","Lights","175","Explosion",""
"72","Lights","176","Focus Evils",""
"72","Sound","14.3","Evil Gabbi, Evil Tina, out Orcus, Kaliope, Lilith",""
"72","Video","147","Succubi",""
"73","Audio","147","rip out heart gore",""
"73","Lights","177","Gore",""
"73","Lights","178","Back to game",""
"73","Sound","14.35","out Miles",""
"74","Audio","150","Steve Fanfare",""
"74","Audio","151","Steve dies gore",""
"74","Audio","155","Kick, fall",""
"74","Lights","179","Steve enters",""
"74","Lights","180","Gore",""
"74","Lights","181","Back to game",""
"74","Lights","182","Fight",""
"74","Lights","184","Kick",""
"74","Sound","14.4","Steve",""
"74","Sound","14.45","out Steve",""
"74","Sound","14.5","out Lilith, Kaliope",""
"75","Audio","160","Stab",""
"75","Lights","185","Stab",""
"75","Lights","186","Dark, dramatic",""
"75","Sound","14.6","Lilith",""
"75","Sound","14.65","Orcus, Kaliope, out Lilith",""
"76","Audio","165","Thunder",""
"76","Audio","166","ding ding",""
"76","Audio","167","C&C Music Factory ""Gonna Make You Sweat""",""
"76","Audio","168","Hip-hop Cheer song",""
"76","Audio","169","Sword gore",""
"76","Lights","189","Boxing ring: Dance battle",""
"76","Lights","190","Dance battle 1",""
"76","Lights","192","Dance battle 2",""
"76","Lights","193","Gore",""
"76","Sound","14.7","Chuck: Bonus round, out Agnes, Tilly, Evils Gabbi, Evil Tina",""
"76","Sound","14.71","out Chuck",""
"76","Sound","14.75","Evils",""
"76","Sound","14.79","Agnes, Tilly, Lilith, Orcus",""
"76","Video","148","Lightning",""
"77","Audio","170","Cheerleaders die",""
"77","Lights","194","Death",""
"77","Lights","195","Sad dark focus Lilith",""
"77","Lights","196","Chuck at table",""
"77","Lights","197","Focus Miles",""
"77","Sound","14.8","out Evils",""
"77","Sound","14.85","Chuck, out Orcus",""
"77","Sound","14.89","Miles",""
"78","Lights","198","Ghost Tilly enters",""
"78","Sound","14.9","Tilly",""
"79","Audio","174","Sad transition music",""
"79","Lights","199","Blackout",""
"79","Sound","14.99","out Chuck, Agnes",""
"80","Lights","200","Study hall",""
"80","Sound","15","Agnes, Vera",""
"81","Audio","180","Doorbell",""
"81","Lights","202","Chuck enters",""
"81","Lights","205","Transition to Ronnie's house",""
"81","Lights","206","Orcus enters",""
"81","Sound","15.1","Chuck",""
"81","Sound","15.2","Orcus, out Vera",""
"81","Video","150","Ronnie's house: front door",""
"82","Lights","210","Enter house",""
"82","Sound","15.25","out Orcus",""
"82","Video","155","Inside Ronnie's house",""
"83","Audio","190","Transition to Void",""
"83","Lights","212","Transition to Void",""
"83","Sound","15.3","Kaliope",""
"83","Sound","15.4","Tilly, out Kaliope",""
"83","Video","160","Void",""
"84","Lights","213","Pools of light",""
"84","Lights","214","Lilith in pool of light",""
"84","Lights","215","Lilith approaches",""
"84","Sound","15.5","Lilith, out Tilly",""
"85","Audio","195","Transition to boss fight",""
"85","Lights","216","Lilith leaves",""
"85","Lights","219","Transition to Game",""
"85","Sound","15.6","out Lilith",""
"86","Audio","200","Epic boss battle music",""
"86","Audio","201","Ding ding ding",""
"86","Audio","203","Eye stabbing gore",""
"86","Audio","205","Steve fanfare",""
"86","Lights","220","Boss 3",""
"86","Lights","222","Gore",""
"86","Lights","224","Game",""
"86","Lights","225","Steve enters",""
"86","Sound","16","Chuck: FX, Vera: FX, Tilly, Kaliope, Orcus",""
"86","Sound","16.1","out Chuck",""
"86","Sound","16.2","out Vera",""
"87","Audio","206","Dagger to head gore",""
"87","Audio","207","Scary ambience",""
"87","Audio","208","Monster fx",""
"87","Lights","226","Gore",""
"87","Lights","227","Steve dead",""
"87","Lights","228","Shadows moving",""
"87","Lights","229","Focus Tilly",""
"87","Lights","230","Focus Orcus",""
"87","Lights","231","Focus Kaliope",""
"87","Lights","232","Creepy 3 pools of light",""
"87","Sound","16.3","Steve",""
"87","Sound","16.35","out Steve",""
"87","Sound","16.4","Creepy reverb",""
"87","Video","162","Shadows approaching",""
"88","Audio","209","Big crescendo",""
"88","Audio","210","Biggest Bass drop",""
"88","Audio","211","Ding ding ding ding",""
"88","Audio","212","Large heavy footsteps",""
"88","Audio","213","Reptile screech",""
"88","Lights","233","Big crescendo",""
"88","Lights","234","Boxing ring",""
"88","Lights","235","Solo Agnes C",""
"88","Lights","236","Blackout",""
"88","Lights","237","Footsteps",""
"88","Lights","238","Red eyes",""
"88","Sound","16.45","out Kaliope, Lilith, Orcus",""
"88","Sound","16.47","Tilly demonic laugh",""
"88","Sound","16.5","Chuck FX",""
"88","Sound","16.6","out Chuck",""
"88","Video","164","Smoke",""
"88","Video","165","Black",""
"88","Video","170","Red gowing eyes x5",""
"89","Audio","215","Final boss fight music",""
"89","Audio","220","Dragon anguish",""
"89","Audio","221","Explosion",""
"89","Audio","222","Low horn note",""
"89","Lights","240","Tiamat reveal",""
"89","Lights","241","Boss fight",""
"89","Lights","245","Stab - boss dath",""
"89","Lights","246","Explosion",""
"89","Stage","","Main screen falls",""
"90","Audio","224","Scary crescendo",""
"90","Audio","225","Victory!",""
"90","Audio","226","Quiet cathartic underscore",""
"90","Lights","247","Creepy figure approaces",""
"90","Lights","248","Victory reveal",""
"90","Lights","249","Pool of light",""
"90","Lights","250","Expand pool",""
"90","Sound","16.7","Tilly",""
"90","Sound","16.75","Kaliope, Lilith, Orcus, Chuck",""
"91","Audio","229","Big slow happy crescendo",""
"91","Audio","230","Triumphant victory",""
"91","Audio","231","90s epilogue (Mariah Carey Fantasy)",""
"91","Lights","252","Chuck",""
"91","Lights","254","Focus Narrator",""
"91","Lights","255","Blackout",""
"91","Lights","256","Bows",""
"91","Lights","259","House up",""
"91","Lights","260","GTFO",""
"91","Sound","16.8","Narrator, out Agnes, Kaliope, Orcus Tilly, Chuck",""
"91","Sound","16.9","out",""
"91","Video","190","The end",""
"91","Video","195","Roll credits",""
